Turning on Radio log 

00:18:09 | [Supervisor] | Logging initialised
00:18:09 | [Supervisor] | Channel Loaded: AnalogueRadio mapped to key: A
00:18:09 | [Supervisor] | Channel Loaded: LocalTunes mapped to key: B
00:18:09 | [Supervisor] | Channel Loaded: AI_DJ mapped to key: D
00:18:09 | [Supervisor] | Channel Loaded: AIPodCasts mapped to key: E
00:18:09 | [Supervisor] | Channel Loaded: TedLocalTunes mapped to key: F
00:18:14 | [Supervisor] | Channel Loaded: Local mapped to key: L
00:18:14 | [Supervisor] | Channel Loaded: Cloud mapped to key: C
00:18:28 | [Supervisor] | Starting Channel: Local
00:18:28 | [Local] | Channel activated
00:18:28 | [Local] | House icon set 
00:18:28 | [Local] | Starting BLE scanning task
00:18:28 | [Local] | BLE scan cycle started
00:18:33 | [Local] | BLE scan cycle started
00:18:38 | [Local] | BLE scan cycle started
00:18:43 | [Local] | BLE Device found: BBC micro:bit [tivap] - C8:93:B5:41:F9:DA
00:18:44 | [Local] | Connected to BLE device
00:18:45 | [Local] | Calling ollama LLM
00:18:45 | [Local] | Intro audio started
00:18:45 | [Local] | ffplay audio process started
00:18:52 | [Local] | Intro audio bytes written to ffplay
00:18:54 | [Local] | movement status received: still
00:19:03 | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
00:19:03 | [Local] | Sentence Queued for TTS
00:19:06 | [Local] | Sentence Queued for TTS
00:19:08 | [Local] | Sentence Queued for TTS
00:19:11 | [Local] | Sentence Queued for TTS
00:19:12 | [Local] | BLE disconnect event received
00:19:12 | [Local] | ffplay audio process stopped
00:19:12 | [Local] | ffplay audio process started
00:19:12 | [Local] | TTS stop sentinel received
00:19:12 | [Local] | Broadcast ended for Patrick
00:19:13 | [Local] | Returnig the BLE scanning : time since disconnect : 1513.79ms
00:19:13 | [Local] | BLE scan cycle started
00:19:18 | [Local] | BLE Device found: BBC micro:bit [tivap] - C8:93:B5:41:F9:DA
00:19:19 | [Local] | Connected to BLE device
00:19:19 | [Local] | Calling ollama LLM
00:19:19 | [Local] | Intro audio started
00:19:19 | [Local] | ffplay audio process started
00:19:26 | [Local] | Intro audio bytes written to ffplay
00:19:27 | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
00:19:27 | [Local] | Sentence Queued for TTS
00:19:29 | [Local] | movement status received: still
00:19:30 | [Local] | Sentence Queued for TTS
00:19:31 | [Local] | Sentence Queued for TTS
