Turning on Radio log 
21:06:57 | [Supervisor] | Logging initialised
21:06:57 | [Supervisor] | Channel Loaded: AnalogueRadio mapped to key: A
21:06:57 | [Supervisor] | Channel Loaded: LocalTunes mapped to key: B
21:06:57 | [Supervisor] | Channel Loaded: AI_DJ mapped to key: D
21:06:57 | [Supervisor] | Channel Loaded: AIPodCasts mapped to key: E
21:06:57 | [Supervisor] | Channel Loaded: TedLocalTunes mapped to key: F
21:07:02 | [Supervisor] | Channel Loaded: Local mapped to key: L
21:07:02 | [Supervisor] | Channel Loaded: Cloud mapped to key: C
21:07:08 | [Supervisor] | Starting Channel: Local
21:07:09 | [Local] | Channel activated
21:07:09 | [Local] | House icon set 
21:07:09 | [Local] | Starting BLE scanning task
21:07:09 | [Local] | BLE scan cycle started
21:07:14 | [Local] | BLE Device found: BBC micro:bit [tivap] - C8:93:B5:41:F9:DA
21:07:17 | [Local] | Connected to BLE device
21:07:17 | [Local] | Calling ollama LLM
21:07:17 | [Local] | Intro audio started
21:07:17 | [Local] | ffplay audio process started
21:07:24 | [Local] | Intro audio bytes written to ffplay
21:07:25 | [Local] | movement status received: still
21:07:25 | HTTP Request: POST http://127.0.0.1:11434/api/generate "HTTP/1.1 200 OK"
21:07:27 | [Local] | Sentence Queued for TTS
21:07:29 | [Local] | Sentence Queued for TTS
21:07:32 | [Local] | Sentence Queued for TTS
21:07:37 | [Local] | Sentence Queued for TTS
21:07:44 | [Local] | Sentence Queued for TTS
21:07:53 | [Local] | Sentence Queued for TTS
21:07:56 | [Local] | Sentence Queued for TTS
21:07:57 | [Local] | Playing song: rel1.wav
21:08:07 | [Local] | Song complete, segment_done set
21:08:07 | [Local] | Calling ollama LLM
21:08:13 | [Local] | Stop signal received
21:08:13 | [Local] | Closing Audio process
21:08:13 | [Local] | ffplay audio process stopped
21:08:13 | [Local] | Stop command sent to TTS queue
21:08:13 | [Local] | TTS stop sentinel received
21:08:13 | [Local] | Broadcast ended for Patrick
